,B365H,B365D,B365A,FTR,Date,HomeTeam,AwayTeam,HomeTeamPercPoints,HomeTeamGolsFavorMean,HomeTeamGolsFavorMedian,HomeTeamGolsFavorMax,HomeTeamGolsContraMean,HomeTeamGolsContraMedian,HomeTeamGolsContraMax,HomeTeam_Position,HomeTeam_Home_Wins_season,HomeTeam_Away_Wins_season,HomeTeam_Wins_season,HomeTeam_Home_Lose_season,HomeTeam_Away_Lose_season,HomeTeam_Lose_season,HomeTeam_Home_Draw_season,HomeTeam_Away_Draw_season,HomeTeam_Draw_season,HomeTeam_Points,HomeTeam_Home_goals_avg,HomeTeam_Home_goals_med,HomeTeam_Home_goals_max,HomeTeam_Home_goals_mode,HomeTeam_Away_goals_avg,HomeTeam_Away_goals_med,HomeTeam_Away_goals_max,HomeTeam_Away_goals_mode,HomeTeam_AgeMean,HomeTeam_AgeMedian,HomeTeam_DefensaMax,HomeTeam_DefensaMean,HomeTeam_DefensaMedian,HomeTeam_DelanteroMax,HomeTeam_DelanteroMean,HomeTeam_DelanteroMedian,HomeTeam_MedioMax,HomeTeam_MedioMean,HomeTeam_MedioMedian,HomeTeam_OverallMax,HomeTeam_OverallMean,HomeTeam_OverallMedian,HomeTeam_PorteroMax,HomeTeam_PorteroMean,HomeTeam_PorteroMedian,HomeTeam_TopOverallMean,HomeTeam_TopOverallMedian,HomeTeam_TopOverallMin,AwayTeamPercPoints,AwayTeamGolsFavorMean,AwayTeamGolsFavorMedian,AwayTeamGolsFavorMax,AwayTeamGolsContraMean,AwayTeamGolsContraMedian,AwayTeamGolsContraMax,AwayTeam_Position,AwayTeam_Home_Wins_season,AwayTeam_Away_Wins_season,AwayTeam_Wins_season,AwayTeam_Home_Lose_season,AwayTeam_Away_Lose_season,AwayTeam_Lose_season,AwayTeam_Home_Draw_season,AwayTeam_Away_Draw_season,AwayTeam_Draw_season,AwayTeam_Points,AwayTeam_Home_goals_avg,AwayTeam_Home_goals_med,AwayTeam_Home_goals_max,AwayTeam_Home_goals_mode,AwayTeam_Away_goals_avg,AwayTeam_Away_goals_med,AwayTeam_Away_goals_max,AwayTeam_Away_goals_mode,AwayTeam_AgeMean,AwayTeam_AgeMedian,AwayTeam_DefensaMax,AwayTeam_DefensaMean,AwayTeam_DefensaMedian,AwayTeam_DelanteroMax,AwayTeam_DelanteroMean,AwayTeam_DelanteroMedian,AwayTeam_MedioMax,AwayTeam_MedioMean,AwayTeam_MedioMedian,AwayTeam_OverallMax,AwayTeam_OverallMean,AwayTeam_OverallMedian,AwayTeam_PorteroMax,AwayTeam_PorteroMean,AwayTeam_PorteroMedian,AwayTeam_TopOverallMean,AwayTeam_TopOverallMedian,AwayTeam_TopOverallMin
10,2.05,3.4,3.75,D,09/09/2016,Sociedad,Espanol,0.5,1.0,1.0,2,1.5,1.5,3,8,7,6,13,7,9,16,5,4,9,48,1.1578947368421053,1.0,3,2,1.2105263157894737,1.0,5,0,24.939393939393938,24.0,81.0,72.7,75.5,82.0,74.66666666666667,77.5,79.0,72.23076923076923,73.0,83.0,72.63636363636364,75.0,83.0,70.75,67.0,79.27272727272727,79.0,60.0,0.16666666666666666,3.0,3.0,4,4.0,4.0,6,14,9,3,12,5,14,19,5,2,7,43,1.1578947368421053,1.0,4,1,0.9473684210526315,1.0,4,0,26.142857142857142,26.0,77.0,73.66666666666667,76.0,80.0,73.0,75.0,79.0,75.3,77.0,82.0,74.25,76.5,82.0,75.0,79.0,78.45454545454545,78.0,64.0
11,1.07,12.0,34.0,A,10/09/2016,Barcelona,Alaves,1.0,3.5,3.5,6,1.0,1.0,2,1,16,13,29,2,3,5,1,3,4,91,3.526315789473684,4.0,6,2,2.3684210526315788,2.0,8,2,24.96969696969697,24.0,87.0,76.6923076923077,79.0,93.0,80.83333333333333,85.5,88.0,79.5,81.5,93.0,78.0909090909091,80.0,83.0,75.0,75.5,87.45454545454545,87.0,63.0,0.3333333333333333,0.5,0.5,1,0.5,0.5,1,18,8,1,9,7,11,18,4,7,11,38,1.5263157894736843,2.0,3,2,1.2105263157894737,1.0,2,2,24.724137931034484,24.0,77.0,71.7,74.0,76.0,69.0,71.0,77.0,74.2,75.5,77.0,71.79310344827586,74.0,77.0,69.66666666666667,69.0,76.27272727272727,76.0,61.0
12,6.0,3.3,1.73,A,10/09/2016,Celta,Ath Madrid,0.0,0.5,0.5,1,1.5,1.5,2,6,9,8,17,4,8,12,6,3,9,60,1.5263157894736843,1.0,4,1,1.1578947368421053,1.0,3,1,24.606060606060606,24.0,80.0,72.41666666666667,76.0,83.0,75.25,76.0,80.0,72.2,71.5,83.0,73.0,75.0,77.0,72.0,75.0,79.45454545454545,80.0,62.0,0.3333333333333333,0.5,0.5,1,0.5,0.5,1,3,15,13,28,1,5,6,3,1,4,88,1.736842105263158,1.0,5,1,1.5789473684210527,1.0,3,1,25.419354838709676,24.0,88.0,77.66666666666667,82.0,88.0,75.66666666666667,80.0,84.0,76.41666666666667,80.5,88.0,76.54838709677419,81.0,87.0,75.75,75.5,84.63636363636364,84.0,61.0
13,2.3,3.1,3.3,A,10/09/2016,Malaga,Villarreal,0.3333333333333333,1.5,1.5,2,1.5,1.5,2,9,8,4,12,5,9,14,6,6,12,48,1.368421052631579,1.0,4,1,0.631578947368421,0.0,3,0,25.0,24.0,78.0,73.18181818181819,75.0,77.0,68.875,71.0,81.0,75.9090909090909,76.0,81.0,73.0909090909091,75.0,81.0,73.66666666666667,78.0,78.27272727272727,78.0,58.0,0.3333333333333333,0.5,0.5,1,0.5,0.5,1,4,12,6,18,3,7,10,4,6,10,64,1.368421052631579,1.0,3,1,0.9473684210526315,1.0,3,0,25.484848484848484,26.0,83.0,76.88888888888889,77.0,81.0,71.88888888888889,75.0,84.0,74.54545454545455,79.0,84.0,74.45454545454545,77.0,84.0,74.5,75.5,81.54545454545455,81.0,61.0
14,1.04,15.0,34.0,H,10/09/2016,Real Madrid,Osasuna,1.0,2.5,2.5,3,0.5,0.5,1,2,16,12,28,2,2,4,1,5,6,90,3.6842105263157894,4.0,10,3,2.1052631578947367,2.0,6,2,24.939393939393938,25.0,89.0,78.81818181818181,80.0,94.0,80.0,82.0,89.0,81.11111111111111,83.0,94.0,78.75757575757575,82.0,85.0,72.4,67.0,87.81818181818181,88.0,63.0,0.16666666666666666,0.5,0.5,1,1.5,1.5,2,20,7,1,8,7,15,22,5,3,8,32,1.2105263157894737,1.0,3,1,0.7368421052631579,1.0,3,0,26.03030303030303,27.0,75.0,71.72727272727273,72.0,76.0,69.33333333333333,70.0,77.0,70.92307692307692,72.0,80.0,71.15151515151516,72.0,80.0,73.66666666666667,71.0,74.9090909090909,74.0,61.0
15,1.5,4.33,6.0,H,10/09/2016,Sevilla,Las Palmas,0.6666666666666666,3.0,3.0,6,2.0,2.0,4,7,14,0,14,4,10,14,1,9,10,52,2.0,2.0,5,2,0.6842105263157895,1.0,2,1,25.821428571428573,27.0,82.0,75.7,79.0,81.0,76.75,79.5,83.0,79.72727272727273,82.0,83.0,76.96428571428571,79.0,81.0,71.33333333333333,73.0,81.9090909090909,82.0,60.0,1.0,4.5,4.5,5,1.5,1.5,2,11,8,4,12,6,12,18,5,3,8,44,1.3157894736842106,1.0,4,0,1.0526315789473684,1.0,3,1,25.393939393939394,26.0,78.0,70.46153846153847,74.0,80.0,69.4,66.0,82.0,75.0,74.0,82.0,71.96969696969697,73.0,77.0,70.66666666666667,73.0,78.54545454545455,78.0,61.0
16,2.15,3.25,3.5,A,11/09/2016,Granada,Eibar,0.16666666666666666,1.0,1.0,1,3.0,3.0,5,16,6,4,10,8,11,19,5,4,9,39,1.368421052631579,1.0,5,1,1.0526315789473684,1.0,4,0,23.53125,23.0,75.0,70.27272727272727,72.0,78.0,69.8,72.0,78.0,71.61538461538461,72.0,79.0,70.78125,72.0,79.0,70.66666666666667,72.0,75.27272727272727,75.0,61.0,0.5,1.0,1.0,1,1.0,1.0,2,13,8,3,11,6,11,17,5,5,10,43,1.368421052631579,1.0,5,1,1.2105263157894737,1.0,4,0,25.096774193548388,25.0,79.0,72.0,75.0,78.0,70.5,72.5,79.0,73.9,77.0,79.0,71.87096774193549,75.0,75.0,68.5,69.5,77.54545454545455,78.0,60.0
17,3.6,3.25,2.15,A,11/09/2016,La Coruna,Ath Bilbao,0.6666666666666666,1.0,1.0,2,0.5,0.5,1,15,4,4,8,7,5,12,8,10,18,42,1.3157894736842106,1.0,3,2,1.0526315789473684,1.0,3,1,25.666666666666668,25.0,79.0,74.625,75.0,79.0,68.5,67.0,79.0,72.0625,74.0,79.0,72.15151515151516,75.0,75.0,73.33333333333333,75.0,77.27272727272727,77.0,61.0,0.0,0.5,0.5,1,1.5,1.5,2,5,11,7,18,4,8,12,4,4,8,62,1.8421052631578947,2.0,5,0,1.2105263157894737,1.0,3,0,25.964285714285715,26.0,84.0,75.6,77.0,84.0,77.0,78.0,82.0,75.5,78.0,84.0,75.60714285714286,77.0,79.0,73.75,74.5,80.9090909090909,81.0,63.0
18,2.25,3.2,3.4,H,11/09/2016,Sp Gijon,Leganes,0.6666666666666666,1.0,1.0,2,0.5,0.5,1,17,7,3,10,8,11,19,4,5,9,39,1.4736842105263157,1.0,5,2,0.631578947368421,0.0,3,0,25.181818181818183,26.0,78.0,70.0,71.5,75.0,70.6,72.0,77.0,70.5,71.5,78.0,70.12121212121212,72.0,75.0,68.75,69.0,75.0909090909091,75.0,61.0,0.6666666666666666,0.5,0.5,1,0.0,0.0,0,19,6,3,9,6,14,20,7,2,9,36,1.2105263157894737,1.0,4,1,0.7368421052631579,0.0,2,0,25.454545454545453,25.0,76.0,70.9090909090909,74.0,73.0,69.5,71.0,77.0,73.5,74.0,77.0,71.93939393939394,73.0,76.0,71.75,73.0,76.18181818181819,76.0,61.0
19,1.65,4.2,5.0,A,11/09/2016,Valencia,Betis,0.0,1.0,1.0,2,2.5,2.5,4,12,6,5,11,6,10,16,7,4,11,44,1.3157894736842106,1.0,4,0,1.105263157894737,1.0,5,0,24.333333333333332,24.0,83.0,74.16666666666667,76.5,83.0,76.375,76.5,81.0,71.4,72.5,83.0,73.87878787878788,76.0,82.0,74.33333333333333,75.0,80.18181818181819,79.0,61.0,0.16666666666666666,1.0,1.0,2,3.0,3.0,6,10,6,5,11,7,8,15,6,6,12,45,0.8947368421052632,1.0,2,1,0.8947368421052632,1.0,3,1,26.142857142857142,25.0,78.0,73.55555555555556,73.0,81.0,71.4,75.0,79.0,74.81818181818181,76.0,81.0,73.67857142857143,75.5,81.0,73.66666666666667,70.0,78.18181818181819,78.0,60.0
20,1.73,3.75,5.0,D,16/09/2016,Betis,Granada,0.4444444444444444,1.6666666666666667,2.0,3,2.6666666666666665,2.0,6,10,6,5,11,7,8,15,6,6,12,45,0.8947368421052632,1.0,2,1,0.8947368421052632,1.0,3,1,26.142857142857142,25.0,78.0,73.55555555555556,73.0,81.0,71.4,75.0,79.0,74.81818181818181,76.0,81.0,73.67857142857143,75.5,81.0,73.66666666666667,70.0,78.18181818181819,78.0,60.0,0.1111111111111111,1.0,1.0,1,2.6666666666666665,2.0,5,16,6,4,10,8,11,19,5,4,9,39,1.368421052631579,1.0,5,1,1.0526315789473684,1.0,4,0,23.53125,23.0,75.0,70.27272727272727,72.0,78.0,69.8,72.0,78.0,71.61538461538461,72.0,79.0,70.78125,72.0,79.0,70.66666666666667,72.0,75.27272727272727,75.0,61.0
21,1.18,6.5,21.0,H,17/09/2016,Ath Madrid,Sp Gijon,0.5555555555555556,1.6666666666666667,1.0,4,0.3333333333333333,0.0,1,3,15,13,28,1,5,6,3,1,4,88,1.736842105263158,1.0,5,1,1.5789473684210527,1.0,3,1,25.419354838709676,24.0,88.0,77.66666666666667,82.0,88.0,75.66666666666667,80.0,84.0,76.41666666666667,80.5,88.0,76.54838709677419,81.0,87.0,75.75,75.5,84.63636363636364,84.0,61.0,0.7777777777777778,1.3333333333333333,2.0,2,0.6666666666666666,1.0,1,17,7,3,10,8,11,19,4,5,9,39,1.4736842105263157,1.0,5,2,0.631578947368421,0.0,3,0,25.181818181818183,26.0,78.0,70.0,71.5,75.0,70.6,72.0,77.0,70.5,71.5,78.0,70.12121212121212,72.0,75.0,68.75,69.0,75.0909090909091,75.0,61.0
22,3.1,3.3,2.35,D,17/09/2016,Eibar,Sevilla,0.6666666666666666,1.3333333333333333,1.0,2,1.0,1.0,2,13,8,3,11,6,11,17,5,5,10,43,1.368421052631579,1.0,5,1,1.2105263157894737,1.0,4,0,25.096774193548388,25.0,79.0,72.0,75.0,78.0,70.5,72.5,79.0,73.9,77.0,79.0,71.87096774193549,75.0,75.0,68.5,69.5,77.54545454545455,78.0,60.0,0.7777777777777778,2.6666666666666665,2.0,6,1.6666666666666667,1.0,4,7,14,0,14,4,10,14,1,9,10,52,2.0,2.0,5,2,0.6842105263157895,1.0,2,1,25.821428571428573,27.0,82.0,75.7,79.0,81.0,76.75,79.5,83.0,79.72727272727273,82.0,83.0,76.96428571428571,79.0,81.0,71.33333333333333,73.0,81.9090909090909,82.0,60.0
23,2.3,3.25,3.3,H,17/09/2016,Las Palmas,Malaga,0.6666666666666666,3.3333333333333335,4.0,5,1.6666666666666667,2.0,2,11,8,4,12,6,12,18,5,3,8,44,1.3157894736842106,1.0,4,0,1.0526315789473684,1.0,3,1,25.393939393939394,26.0,78.0,70.46153846153847,74.0,80.0,69.4,66.0,82.0,75.0,74.0,82.0,71.96969696969697,73.0,77.0,70.66666666666667,73.0,78.54545454545455,78.0,61.0,0.2222222222222222,1.0,1.0,2,1.6666666666666667,2.0,2,9,8,4,12,5,9,14,6,6,12,48,1.368421052631579,1.0,4,1,0.631578947368421,0.0,3,0,25.0,24.0,78.0,73.18181818181819,75.0,77.0,68.875,71.0,81.0,75.9090909090909,76.0,81.0,73.0909090909091,75.0,81.0,73.66666666666667,78.0,78.27272727272727,78.0,58.0
24,17.0,7.0,1.18,A,17/09/2016,Leganes,Barcelona,0.4444444444444444,0.6666666666666666,1.0,1,0.6666666666666666,0.0,2,19,6,3,9,6,14,20,7,2,9,36,1.2105263157894737,1.0,4,1,0.7368421052631579,0.0,2,0,25.454545454545453,25.0,76.0,70.9090909090909,74.0,73.0,69.5,71.0,77.0,73.5,74.0,77.0,71.93939393939394,73.0,76.0,71.75,73.0,76.18181818181819,76.0,61.0,0.6666666666666666,2.6666666666666665,1.0,6,1.3333333333333333,2.0,2,1,16,13,29,2,3,5,1,3,4,91,3.526315789473684,4.0,6,2,2.3684210526315788,2.0,8,2,24.96969696969697,24.0,87.0,76.6923076923077,79.0,93.0,80.83333333333333,85.5,88.0,79.5,81.5,93.0,78.0909090909091,80.0,83.0,75.0,75.5,87.45454545454545,87.0,63.0
25,1.85,3.6,4.33,H,18/09/2016,Ath Bilbao,Valencia,0.3333333333333333,0.6666666666666666,1.0,1,1.0,1.0,2,5,11,7,18,4,8,12,4,4,8,62,1.8421052631578947,2.0,5,0,1.2105263157894737,1.0,3,0,25.964285714285715,26.0,84.0,75.6,77.0,84.0,77.0,78.0,82.0,75.5,78.0,84.0,75.60714285714286,77.0,79.0,73.75,74.5,80.9090909090909,81.0,63.0,0.0,1.3333333333333333,2.0,2,2.6666666666666665,3.0,4,12,6,5,11,6,10,16,7,4,11,44,1.3157894736842106,1.0,4,0,1.105263157894737,1.0,5,0,24.333333333333332,24.0,83.0,74.16666666666667,76.5,83.0,76.375,76.5,81.0,71.4,72.5,83.0,73.87878787878788,76.0,82.0,74.33333333333333,75.0,80.18181818181819,79.0,61.0
26,7.5,5.5,1.36,A,18/09/2016,Espanol,Real Madrid,0.2222222222222222,2.3333333333333335,2.0,4,3.0,2.0,6,14,9,3,12,5,14,19,5,2,7,43,1.1578947368421053,1.0,4,1,0.9473684210526315,1.0,4,0,26.142857142857142,26.0,77.0,73.66666666666667,76.0,80.0,73.0,75.0,79.0,75.3,77.0,82.0,74.25,76.5,82.0,75.0,79.0,78.45454545454545,78.0,64.0,1.0,3.3333333333333335,3.0,5,1.0,1.0,2,2,16,12,28,2,2,4,1,5,6,90,3.6842105263157894,4.0,10,3,2.1052631578947367,2.0,6,2,24.939393939393938,25.0,89.0,78.81818181818181,80.0,94.0,80.0,82.0,89.0,81.11111111111111,83.0,94.0,78.75757575757575,82.0,85.0,72.4,67.0,87.81818181818181,88.0,63.0
27,2.9,3.1,2.6,D,18/09/2016,Osasuna,Celta,0.1111111111111111,1.0,1.0,2,2.6666666666666665,2.0,5,20,7,1,8,7,15,22,5,3,8,32,1.2105263157894737,1.0,3,1,0.7368421052631579,1.0,3,0,26.03030303030303,27.0,75.0,71.72727272727273,72.0,76.0,69.33333333333333,70.0,77.0,70.92307692307692,72.0,80.0,71.15151515151516,72.0,80.0,73.66666666666667,71.0,74.9090909090909,74.0,61.0,0.0,0.3333333333333333,0.0,1,2.3333333333333335,2.0,4,6,9,8,17,4,8,12,6,3,9,60,1.5263157894736843,1.0,4,1,1.1578947368421053,1.0,3,1,24.606060606060606,24.0,80.0,72.41666666666667,76.0,83.0,75.25,76.0,80.0,72.2,71.5,83.0,73.0,75.0,77.0,72.0,75.0,79.45454545454545,80.0,62.0
